transaction_id,amount,status,failure_reason,payment_method,attempt_count,customer_history,timestamp
TX0001,420,success,none,NetBanking,1,new,2026-08-20 03:05:26.458589
TX0002,8738,success,none,Card,1,new,2026-08-20 14:24:26.458644
TX0003,1307,failed,network_error,Wallet,2,returning,2026-08-19 16:47:26.458674
TX0004,3361,success,none,NetBanking,1,frequent,2026-08-19 01:04:26.458690
TX0005,9149,failed,network_error,NetBanking,1,returning,2026-08-23 23:59:26.458708
TX0006,4680,success,none,NetBanking,1,frequent,2026-08-24 06:35:26.458732
TX0007,436,success,none,Card,1,new,2026-08-21 09:16:26.458746
TX0008,5749,success,none,Card,1,returning,2026-08-24 01:25:26.458758
TX0009,4399,failed,insufficient_funds,Card,1,returning,2026-08-24 17:14:26.458771
TX0010,4840,success,none,Card,1,returning,2026-08-21 19:14:26.458783
TX0011,636,success,none,NetBanking,1,returning,2026-08-23 00:47:26.458797
TX0012,9414,success,none,Card,1,frequent,2026-08-20 10:31:26.458809
TX0013,6211,failed,timeout,UPI,2,new,2026-08-21 22:22:26.458823
TX0014,5531,failed,insufficient_funds,Wallet,2,returning,2026-08-20 01:48:26.458837
TX0015,335,failed,insufficient_funds,Card,3,returning,2026-08-23 19:20:26.458848
TX0016,4852,failed,bank_error,UPI,3,new,2026-08-24 18:09:26.458860
TX0017,9938,success,none,NetBanking,1,new,2026-08-22 12:05:26.458870
TX0018,8457,success,none,UPI,1,returning,2026-08-19 18:52:26.458880
TX0019,8857,success,none,Card,1,returning,2026-08-23 17:41:26.458890
TX0020,5928,success,none,Wallet,1,new,2026-08-21 18:32:26.458901
TX0021,7109,success,none,UPI,1,frequent,2026-08-24 09:31:26.458910
TX0022,1283,success,none,Card,1,returning,2026-08-22 17:57:26.458920
TX0023,3841,failed,insufficient_funds,Wallet,3,returning,2026-08-23 15:01:26.458932
TX0024,8485,success,none,Card,1,frequent,2026-08-22 11:27:26.458941
TX0025,5226,success,none,Wallet,1,new,2026-08-24 09:23:26.458951
TX0026,8651,success,none,Wallet,1,new,2026-08-25 03:39:26.458960
TX0027,5553,success,none,Card,1,returning,2026-08-23 01:11:26.458971
TX0028,8018,failed,bank_error,NetBanking,3,frequent,2026-08-19 12:32:26.458982
TX0029,5213,success,none,Wallet,1,returning,2026-08-19 23:16:26.458993
TX0030,2290,success,none,NetBanking,1,returning,2026-08-21 19:42:26.459003
TX0031,7639,failed,insufficient_funds,Card,1,new,2026-08-20 23:33:26.459015
TX0032,6296,success,none,NetBanking,1,frequent,2026-08-23 12:26:26.459025
TX0033,5399,success,none,NetBanking,1,new,2026-08-22 22:46:26.459034
TX0034,570,failed,network_error,Wallet,3,new,2026-08-20 00:34:26.459046
TX0035,7200,success,none,NetBanking,1,returning,2026-08-22 10:04:26.459056
TX0036,8637,success,none,Card,1,new,2026-08-20 18:02:26.459065
TX0037,2954,success,none,UPI,1,frequent,2026-08-19 13:59:26.459076
TX0038,683,success,none,Card,1,frequent,2026-08-23 05:32:26.459086
TX0039,4232,failed,insufficient_funds,NetBanking,3,new,2026-08-19 09:32:26.459097
TX0040,3612,success,none,Card,1,returning,2026-08-25 04:35:26.459107
TX0041,1102,success,none,NetBanking,1,new,2026-08-24 20:31:26.459116
TX0042,9855,success,none,Card,1,returning,2026-08-23 23:43:26.459126
TX0043,9780,failed,timeout,Card,3,returning,2026-08-19 21:29:26.459140
TX0044,5371,success,none,Wallet,1,frequent,2026-08-22 05:31:26.459150
TX0045,621,success,none,Wallet,1,returning,2026-08-24 12:25:26.459159
TX0046,8339,success,none,UPI,1,returning,2026-08-19 01:18:26.459168
TX0047,2521,success,none,Wallet,1,new,2026-08-21 16:47:26.459177
TX0048,4560,failed,bank_error,NetBanking,3,new,2026-08-23 07:34:26.459191
TX0049,7981,success,none,Wallet,1,new,2026-08-25 02:52:26.459202
TX0050,2370,success,none,Wallet,1,frequent,2026-08-21 00:26:26.459211
TX0051,6175,failed,insufficient_funds,UPI,1,frequent,2026-08-22 17:16:26.459222
TX0052,5242,success,none,NetBanking,1,new,2026-08-19 10:50:26.459231
TX0053,9216,failed,timeout,UPI,3,frequent,2026-08-20 23:09:26.459246
TX0054,2407,failed,network_error,UPI,1,new,2026-08-24 12:32:26.459257
TX0055,3456,failed,bank_error,Wallet,1,frequent,2026-08-24 04:48:26.459268
TX0056,8544,success,none,UPI,1,new,2026-08-21 08:02:26.459278
TX0057,2798,success,none,NetBanking,1,returning,2026-08-22 06:16:26.459287
TX0058,6764,success,none,Card,1,returning,2026-08-22 00:05:26.459296
TX0059,3633,success,none,UPI,1,frequent,2026-08-22 00:25:26.459306
TX0060,4428,failed,insufficient_funds,UPI,3,new,2026-08-23 02:17:26.459317
TX0061,3927,success,none,UPI,1,returning,2026-08-19 03:03:26.459327
TX0062,7884,failed,bank_error,UPI,1,new,2026-08-25 11:36:26.459338
TX0063,5392,success,none,UPI,1,frequent,2026-08-24 07:03:26.459349
TX0064,9086,success,none,UPI,1,new,2026-08-21 18:02:26.459359
TX0065,9972,success,none,Card,1,frequent,2026-08-20 20:25:26.459368
